filepath,filename,label,extension,hash
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/normal/Image_resize_671  (170).jpg,Image_resize_671  (170).jpg,normal,.jpg,befca9d3ce4768898edaba4bcf862d93
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/image10256.jpg,image10256.jpg,pcos,.jpg,24a816a9aeeecdbf53ac1e384e3ff5c8
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/Image_SETB_982.jpg,Image_SETB_982.jpg,pcos,.jpg,81f9dc4064870c8b4f9fe1f95dc6f047
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/Image_SETA_869.jpg,Image_SETA_869.jpg,pcos,.jpg,29f459199151c7403d9ec4aa1b9f54b2
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/Image_Rotate_Rotate_Right_136.jpg,Image_Rotate_Rotate_Right_136.jpg,pcos,.jpg,517db4301ce54b6369180787ce4a1695
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/image12117.jpg,image12117.jpg,pcos,.jpg,3cdb6178c00d7ec25b6eefef1f3c7a40
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/Image_SETB_402.jpg,Image_SETB_402.jpg,pcos,.jpg,b41be9feceecc8e1ab7567cfc75d2d09
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/normal/Image_resize_795.jpg,Image_resize_795.jpg,normal,.jpg,a4fe5842a7c6e09aa9b66adcb5ccf1e3
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/image12591.jpg,image12591.jpg,pcos,.jpg,52d418237b1e5a15716e70059234a7bf
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/image10163.jpg,image10163.jpg,pcos,.jpg,90261e17672bad7698a69c800339189c
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/normal/Image_SetA253.jpg,Image_SetA253.jpg,normal,.jpg,1feefb7430d6e7e7f956067f64e2952f
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/normal/Image_SetA916.jpg,Image_SetA916.jpg,normal,.jpg,b70107d673c2936e449f82b687fdd317
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/image11806.jpg,image11806.jpg,pcos,.jpg,eaa636017140c710bf826fad9baaab87
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/Image_085.jpg,Image_085.jpg,pcos,.jpg,d13d28705561bbde7d45d6c303d5d71b
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/image10255.jpg,image10255.jpg,pcos,.jpg,f12d2eeb740afb7cad3df5e88bb4bf2b
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/image10547.jpg,image10547.jpg,pcos,.jpg,a5d2fee4269b57d603083cdf65cb6a79
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/image11867.jpg,image11867.jpg,pcos,.jpg,95b028639e26eaa3f30aa72baa563881
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/normal/Image_resize_244.jpg,Image_resize_244.jpg,normal,.jpg,eee7b13fb297cbfedfeaa433b37b752b
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/image13151.jpg,image13151.jpg,pcos,.jpg,cd58fe277d2424d48ea61ed992878b27
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/normal/Image_SetA849.jpg,Image_SetA849.jpg,normal,.jpg,6cf1ebd256c1d272f263dfa76308a234
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/image11981.jpg,image11981.jpg,pcos,.jpg,a2d454ff7f1a7e1301ab1a8564680fe4
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/normal/Image_resize_671  (147).jpg,Image_resize_671  (147).jpg,normal,.jpg,ab7a746be259448eb7abc53d10e4eb79
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/Image_SETA_843.jpg,Image_SETA_843.jpg,pcos,.jpg,1b9908351773b0164725d30c93e40e0d
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/image10570.jpg,image10570.jpg,pcos,.jpg,fc43a471b8e1b2ee7058e27ee7567b27
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/image11877.jpg,image11877.jpg,pcos,.jpg,9fedc9df11fdc7d4c58dc52bcb52d1b4
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/normal/Image_SetA247.jpg,Image_SetA247.jpg,normal,.jpg,3362d1a0cdc9233a019fb7ae7dfae9cb
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/normal/Image_SetA097.jpg,Image_SetA097.jpg,normal,.jpg,1ac396a894b3ceafdf2c5e340cee2bec
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/image11542.jpg,image11542.jpg,pcos,.jpg,ae3aebec61214f4e1a722e109a1ae60f
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/Image_SETB_599.jpg,Image_SETB_599.jpg,pcos,.jpg,7717a1fd388d5c5ec4b57f63d755238f
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/image11960.jpg,image11960.jpg,pcos,.jpg,d2ddcdcf1677ac41d18ed884985d0901
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/Image_SETB_365.jpg,Image_SETB_365.jpg,pcos,.jpg,2f75b00f99b694c2bc62666740d1413e
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/Image_Rotate_Rotate_Right_127.jpg,Image_Rotate_Rotate_Right_127.jpg,pcos,.jpg,3cc6856085a4995b1071379b4656e6fe
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/normal/Image_379.jpg,Image_379.jpg,normal,.jpg,a868629cd167799596c85f43ba1bdeba
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/image10601.jpg,image10601.jpg,pcos,.jpg,6ab2804bd54045c5b75eab3e8a70919d
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/image11709.jpg,image11709.jpg,pcos,.jpg,c7f53d1f102509a625356ff18c1149f7
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/Image_Rotate_169.jpg,Image_Rotate_169.jpg,pcos,.jpg,d912751fd8f97e7ceb896afba0811049
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/normal/Image_resize_671  (215).jpg,Image_resize_671  (215).jpg,normal,.jpg,6a40b728297a2bf244b164994bd51625
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/image11183.jpg,image11183.jpg,pcos,.jpg,3da506c7d3f3057350b0a2bc313f408e
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/image12789.jpg,image12789.jpg,pcos,.jpg,2551dbdbfd0376eeae71eb0e37b23d65
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/normal/Image_SetB114.jpg,Image_SetB114.jpg,normal,.jpg,9e305d7a7bc927f8ff3c2e19f542c70a
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/normal/Image_SetB665.jpg,Image_SetB665.jpg,normal,.jpg,8b5381cad2d785b1a8b7e9f83ecd4172
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/normal/Image_SetA337.jpg,Image_SetA337.jpg,normal,.jpg,a8b802a76523b8d4c3f8ab1ef12c58e7
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/image11368.jpg,image11368.jpg,pcos,.jpg,b29ec1ad3a9dfd25b878d498c3c3b7ed
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/Image_580.jpg,Image_580.jpg,pcos,.jpg,68bc543c9b6d6dc432bc845dc042f236
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/Image_SETB_606.jpg,Image_SETB_606.jpg,pcos,.jpg,6ecfd36b815e4df818151fd2c2b27cc8
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/image10814.jpg,image10814.jpg,pcos,.jpg,1d72fdf0f985923ce8e2b6fc41802874
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/image12890.jpg,image12890.jpg,pcos,.jpg,f82a3dde811e7f2112375b5844f99f1e
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/Image_817.jpg,Image_817.jpg,pcos,.jpg,02c566ea9941931d1b0c0980ae940b50
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/image11982.jpg,image11982.jpg,pcos,.jpg,69d262b3e9adf513881eeef71aed3996
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/Image_SETA_249.jpg,Image_SETA_249.jpg,pcos,.jpg,3664aff50ef36a5422b7883cad1551f5
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/image10152.jpg,image10152.jpg,pcos,.jpg,d60df4fe912a8bfb300cfe4edef979b1
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/Image_732.jpg,Image_732.jpg,pcos,.jpg,e336c1b0b92bd37b8c362a40edcd3bb2
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/image12613.jpg,image12613.jpg,pcos,.jpg,ea7b731912799c4486f2e334a93a43aa
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/image10435.jpg,image10435.jpg,pcos,.jpg,f02c250ccf8f3965bc6e4b6654a26b3f
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/pcos/image10032.jpg,image10032.jpg,pcos,.jpg,b5b09f25fa0791a3b9d1f65d6d826079
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/normal/Image_742.jpg,Image_742.jpg,normal,.jpg,1b8fc4bb147294fcdec917f96bd35c37
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/normal/Image_SetB664.jpg,Image_SetB664.jpg,normal,.jpg,e4b41febf310426305382aecb60f26b7
/Users/rukky/Desktop/PCOS Prediction Project/Data/Raw/PCOS (unstructured)/normal/Image_964.jpg,Image_964.jpg,normal,.jpg,3c941aa8ff791ca351a90b67111b4d97
